#sl_no Z X M/M_Sun L/L_Sun T_eff
457 0.013 0.71847 4.80987 1128.91471 4889.50195
458 0.013 0.71847 9.37935 10652.85021 5028.95508
459 0.013 0.71847 7.0538 6818.92353 4241.45508
460 0.013 0.71847 10.81553 32496.81667 4897.70508
461 0.013 0.71847 5.69653 3904.16641 5225.83008
462 0.013 0.71847 4.71097 1599.66234 5750.83008
463 0.013 0.71847 9.15926 14886.01048 3913.33008
464 0.013 0.71847 6.26412 2499.06942 7063.33008
465 0.013 0.71847 3.07245 214.85889 5357.08008
466 0.013 0.71847 6.56879 7623.48097 7457.08008
467 0.013 0.71847 3.71523 524.38869 7982.08008
468 0.013 0.71847 9.71945 21994.27092 6374.26758
469 0.013 0.71847 3.94245 1210.41576 6505.51758
470 0.013 0.71847 3.5011 443.60565 7883.64258
471 0.013 0.71847 4.23354 1082.67241 5258.64258
472 0.013 0.71847 5.90309 5159.67171 8014.89258
473 0.013 0.71847 4.88179 2114.08318 7489.89258
474 0.013 0.71847 7.84927 8060.68724 6702.39258
475 0.013 0.71847 5.36821 1353.23141 5652.39258
476 0.013 0.71847 3.31895 637.41011 7571.92383
477 0.013 0.71847 8.58027 9266.5686 8096.92383
478 0.013 0.71847 3.16502 326.43292 6653.17383
479 0.013 0.71847 3.82715 796.6984 4028.17383
480 0.013 0.71847 10.13184 16184.76677 6981.29883
481 0.013 0.71847 4.30962 1739.22771 7243.79883
482 0.013 0.71847 10.62462 20229.3275 7112.54883
483 0.013 0.71847 7.99031 5305.56263 4750.04883
484 0.013 0.71847 3.35859 276.14533 4126.61133
485 0.013 0.71847 7.18054 9798.00587 6226.61133
486 0.013 0.71847 4.06123 673.96555 6751.61133
487 0.013 0.71847 6.22705 3211.90503 3995.36133
488 0.013 0.71847 5.1497 1316.02062 4520.36133
489 0.013 0.71847 8.28004 12246.51998 5307.86133
490 0.013 0.71847 5.66281 2055.95069 6357.86133
491 0.013 0.71847 4.5732 941.78159 7735.98633
492 0.013 0.71847 6.37668 4488.23094 4979.73633
493 0.013 0.71847 7.00165 6963.02335 5164.30664
494 0.013 0.71847 3.96005 478.95846 5689.30664
495 0.013 0.71847 8.46643 16994.08756 7789.30664
496 0.013 0.71847 6.07191 3565.93031 7133.05664
497 0.013 0.71847 5.0214 1461.07615 7658.05664
498 0.013 0.71847 3.77638 383.19766 4245.55664
